name,Data,Distancia_km,Distancia_Formatada,Duracao_min,Pace_Formatado,Pace_Segundos_por_km,average_speed,total_elevation_gain,moving_time
Afternoon Run,2024-08-14,5.0145,5.01 km,24.783333333333335,04:56,296.5400339016851,3.372,24.4,1487
Afternoon Run,2024-08-12,3.4243,3.42 km,15.9,04:38,278.59708553572995,3.589,4.6,954
Afternoon Run,2024-08-09,5.6159,5.62 km,27.966666666666665,04:58,298.7944942039566,3.347,7.9,1678
Afternoon Run,2024-08-07,12.5412,12.54 km,43.8,03:29,209.54932542340447,4.772,72.7,2628
Afternoon Run,2024-08-02,5.0073,5.01 km,26.2,05:13,313.9416451980109,3.185,8.1,1572
Evening Run,2024-07-31,4.9914,4.99 km,25.0,05:00,300.5168890491646,3.328,5.9,1500
Evening Run,2024-07-29,2.0076,2.01 km,10.366666666666667,05:09,309.82267383941024,3.228,2.5,622
Afternoon Run,2024-07-29,2.9977,3.00 km,11.683333333333334,03:53,233.8459485605631,4.276,2.2,701
Afternoon Run,2024-07-25,5.0047,5.00 km,24.533333333333335,04:54,294.12352388754573,3.4,6.4,1472
Afternoon Run,2024-07-23,5.3039,5.30 km,25.916666666666668,04:53,293.1804898282396,3.411,5.9,1555
Evening Run,2024-07-17,5.547899999999999,5.55 km,28.2,05:04,304.9802628021414,3.279,8.2,1692
Morning Run,2024-07-12,7.006,7.01 km,32.96666666666667,04:42,282.329431915501,3.542,20.6,1978
Evening Run,2024-07-10,8.0108,8.01 km,39.53333333333333,04:56,296.1002646427323,3.377,18.0,2372
Morning Run,2024-07-08,10.005799999999999,10.01 km,52.96666666666667,05:17,317.6157828459494,3.148,34.7,3178
Afternoon Run,2024-07-05,5.0048,5.00 km,24.516666666666666,04:53,293.9178388746803,3.402,5.8,1471
Evening Run,2024-07-03,5.0001999999999995,5.00 km,24.3,04:51,291.58833646654136,3.429,5.0,1458
Evening Walk,2024-07-01,5.0062,5.01 km,30.9,06:10,370.3407774359794,2.7,5.8,1854
Afternoon Run,2024-06-30,2.0039000000000002,2.00 km,9.383333333333333,04:40,280.95214332052495,3.559,2.5,563
Afternoon Run,2024-06-30,4.0157,4.02 km,14.6,03:38,218.14378564135768,4.584,5.2,876
Desaquecimento,2024-06-26,1.0052,1.01 km,5.516666666666667,05:29,329.2877039395145,3.037,2.5,331
Evening Run,2024-06-26,5.0003,5.00 km,23.366666666666667,04:40,280.38317700937944,3.567,5.8,1402
Evening Run,2024-06-24,4.0008,4.00 km,19.9,04:58,298.4403119376125,3.351,4.8,1194
Afternoon Run,2024-06-23,12.0042,12.00 km,67.58333333333333,05:37,337.7984372136419,2.96,50.1,4055
Afternoon Run,2024-06-21,5.0565,5.06 km,28.183333333333334,05:34,334.42104222288145,2.99,25.5,1691
